per,sec,sub,stf,per_set,sec_ppw,sub_ppw,sub_weight,stf_max_ppw,sec_name,sub_name,stf_name
P1,G1,S1,T11,false,85,2,1,27,5A,COM,SHU
P2,G1,S1,T11,false,85,2,1,27,5A,COM,SHU
P3,G1,S2,T12,false,85,1,1,27,5A,DC,SOU
P4,G1,S3,T2,false,85,6,1,27,5A,EN,CHA
P5,G1,S3,T2,false,85,6,1,27,5A,EN,CHA
P6,G1,S3,T2,false,85,6,1,27,5A,EN,CHA
P7,G1,S3,T2,false,85,6,1,27,5A,EN,CHA
P8,G1,S3,T2,false,85,6,1,27,5A,EN,CHA
P9,G1,S3,T2,false,85,6,1,27,5A,EN,CHA
P10,G1,S4,T4,false,85,2,1,27,5A,ENC,KRU
P11,G1,S4,T4,false,85,2,1,27,5A,ENC,KRU
P12,G1,S5,T11,false,85,1,1,27,5A,IG,SHU
P13,G1,S6,T13,false,85,5,1,27,5A,KAN,SUM
P14,G1,S6,T13,false,85,5,1,27,5A,KAN,SUM
P15,G1,S6,T13,false,85,5,1,27,5A,KAN,SUM
P16,G1,S6,T13,false,85,5,1,27,5A,KAN,SUM
P17,G1,S6,T13,false,85,5,1,27,5A,KAN,SUM
P18,G1,S7,T12,false,85,1,1,27,5A,LL,SOU
P19,G1,S8,T19,false,85,6,1,27,5A,MATH,MAM
P20,G1,S8,T19,false,85,6,1,27,5A,MATH,MAM
P21,G1,S8,T19,false,85,6,1,27,5A,MATH,MAM
P22,G1,S8,T19,false,85,6,1,27,5A,MATH,MAM
P23,G1,S8,T19,false,85,6,1,27,5A,MATH,MAM
P24,G1,S8,T19,false,85,6,1,27,5A,MATH,MAM
P25,G1,S10,T6,false,85,1,1,27,5A,MG,JYO
P26,G1,S11,T19,false,85,2,1,27,5A,MS,MAM
P27,G1,S11,T19,false,85,2,1,27,5A,MS,MAM
P28,G1,S12,T18,false,85,1,1,27,5A,MUS,ROO
P29,G1,S13,T8,false,85,1,1,27,5A,NIE,MLH
P30,G1,S15,T16,false,85,5,1,27,5A,SAN,VEE
P31,G1,S15,T16,false,85,5,1,27,5A,SAN,VEE
P32,G1,S15,T16,false,85,5,1,27,5A,SAN,VEE
P33,G1,S15,T16,false,85,5,1,27,5A,SAN,VEE
P34,G1,S15,T16,false,85,5,1,27,5A,SAN,VEE
P35,G1,S16,T12,false,85,4,1,27,5A,SCI,SOU
P36,G1,S16,T12,false,85,4,1,27,5A,SCI,SOU
P37,G1,S16,T12,false,85,4,1,27,5A,SCI,SOU
P38,G1,S16,T12,false,85,4,1,27,5A,SCI,SOU
P39,G1,S17,T5,false,85,4,1,27,5A,SS,JK
P40,G1,S17,T5,false,85,4,1,27,5A,SS,JK
P41,G1,S17,T5,false,85,4,1,27,5A,SS,JK
P42,G1,S17,T5,false,85,4,1,27,5A,SS,JK
